line_num,type,dt,next_dt,next_time_valid
29,feed,2019-07-22 21:40:00,2019-07-22 22:08:00,True
30,sleep,2019-07-22 22:08:00,2019-07-22 22:10:00,True
31,wake,2019-07-22 22:10:00,2019-07-22 22:12:00,True
32,feed,2019-07-22 22:12:00,2019-07-22 22:38:00,True
33,sleep,2019-07-22 22:38:00,2019-07-23 03:33:00,True
35,feed,2019-07-23 03:33:00,2019-07-23 03:40:00,True
36,sleep,2019-07-23 03:40:00,2019-07-23 04:55:00,True
37,feed,2019-07-23 04:55:00,2019-07-23 05:03:00,True
38,sleep,2019-07-23 05:03:00,2019-07-23 21:10:00,False
39,feed,2019-07-23 21:10:00,2019-07-23 22:00:00,True
40,sleep,2019-07-23 22:00:00,2019-07-24 20:35:00,False
42,feed,2019-07-24 20:35:00,2019-07-24 20:45:00,True
43,sleep,2019-07-24 20:45:00,2019-07-24 22:15:00,True
44,feed,2019-07-24 22:15:00,2019-07-24 22:45:00,True
45,sleep,2019-07-24 22:45:00,2019-07-25 03:30:00,True
47,feed,2019-07-25 03:30:00,2019-07-25 03:40:00,True
50,sleep,2019-07-25 03:40:00,2019-07-25 22:20:00,False
51,feed,2019-07-25 22:20:00,2019-07-25 22:40:00,True
52,sleep,2019-07-25 22:40:00,2019-07-26 02:00:00,True
54,feed,2019-07-26 02:00:00,2019-07-26 03:30:00,True
55,feed,2019-07-26 03:30:00,2019-07-26 04:15:00,True
56,feed,2019-07-26 04:15:00,2019-07-27 10:15:00,True
58,feed,2019-07-27 10:15:00,2019-07-27 11:15:00,True
59,sleep,2019-07-27 11:15:00,2019-07-27 11:45:00,True
60,wake,2019-07-27 11:45:00,2019-07-27 13:15:00,True
61,feed,2019-07-27 13:15:00,2019-07-27 14:30:00,True
62,feed,2019-07-27 14:30:00,2019-07-27 15:15:00,True
63,sleep,2019-07-27 15:15:00,2019-07-27 17:30:00,True
64,wake,2019-07-27 17:30:00,2019-07-27 17:30:00,True
65,feed,2019-07-27 17:30:00,2019-07-27 18:30:00,True
66,feed,2019-07-27 18:30:00,2019-07-27 19:25:00,True
67,sleep,2019-07-27 19:25:00,2019-07-27 19:45:00,True
68,wake,2019-07-27 19:45:00,2019-07-27 20:00:00,True
69,feed,2019-07-27 20:00:00,2019-07-27 21:00:00,True
70,feed,2019-07-27 21:00:00,2019-07-27 21:45:00,True
71,feed,2019-07-27 21:45:00,2019-07-27 22:10:00,True
72,sleep,2019-07-27 22:10:00,2019-07-28 08:45:00,False
74,sleep,2019-07-28 08:45:00,2019-07-28 09:00:00,True
75,wake,2019-07-28 09:00:00,2019-07-28 09:45:00,True
76,feed,2019-07-28 09:45:00,2019-07-28 10:45:00,True
77,feed,2019-07-28 10:45:00,2019-07-28 11:00:00,True
78,sleep,2019-07-28 11:00:00,2019-07-28 11:30:00,True
79,wake,2019-07-28 11:30:00,2019-07-28 11:55:00,True
80,feed,2019-07-28 11:55:00,2019-07-28 12:45:00,True
81,feed,2019-07-28 12:45:00,2019-07-28 13:00:00,True
82,sleep,2019-07-28 13:00:00,2019-07-28 13:30:00,True
83,feed,2019-07-28 13:30:00,2019-07-28 14:40:00,True
84,sleep,2019-07-28 14:40:00,2019-07-28 15:30:00,True
85,wake,2019-07-28 15:30:00,2019-07-28 15:45:00,True
86,feed,2019-07-28 15:45:00,2019-07-28 16:00:00,True
87,sleep,2019-07-28 16:00:00,2019-07-28 17:10:00,True
88,feed,2019-07-28 17:10:00,2019-07-28 18:05:00,True
89,sleep,2019-07-28 18:05:00,2019-07-28 18:50:00,True
90,wake,2019-07-28 18:50:00,2019-07-28 19:35:00,True
91,sleep,2019-07-28 19:35:00,2019-07-28 20:00:00,True
92,wake,2019-07-28 20:00:00,2019-07-28 20:30:00,True
93,feed,2019-07-28 20:30:00,2019-07-28 22:10:00,True
94,feed,2019-07-28 22:10:00,2019-07-28 22:35:00,True
95,sleep,2019-07-28 22:35:00,2019-07-28 23:10:00,True
96,wake,2019-07-28 23:10:00,2019-07-28 23:10:00,True
97,feed,2019-07-28 23:10:00,2019-07-28 23:15:00,True
98,sleep,2019-07-28 23:15:00,2019-07-29 03:45:00,True
100,feed,2019-07-29 03:45:00,2019-07-29 05:15:00,True
101,feed,2019-07-29 05:15:00,2019-07-29 05:30:00,True
102,sleep,2019-07-29 05:30:00,2019-07-29 05:45:00,True
103,wake,2019-07-29 05:45:00,2019-07-29 08:30:00,True
104,feed,2019-07-29 08:30:00,2019-07-29 10:30:00,True
105,sleep,2019-07-29 10:30:00,2019-07-29 11:00:00,True
106,wake,2019-07-29 11:00:00,2019-07-29 12:30:00,True
107,sleep,2019-07-29 12:30:00,2019-07-29 12:55:00,True
108,feed,2019-07-29 12:55:00,2019-07-29 15:10:00,True
109,feed,2019-07-29 15:10:00,2019-07-29 15:30:00,True
110,sleep,2019-07-29 15:30:00,2019-07-29 17:45:00,True
111,wake,2019-07-29 17:45:00,2019-07-29 18:30:00,True
112,feed,2019-07-29 18:30:00,2019-07-29 19:40:00,True
113,sleep,2019-07-29 19:40:00,2019-07-29 21:40:00,True
114,feed,2019-07-29 21:40:00,2019-07-29 22:00:00,True
115,sleep,2019-07-29 22:00:00,2019-07-30 02:50:00,True
117,wake,2019-07-30 02:50:00,2019-07-30 02:50:00,True
118,feed,2019-07-30 02:50:00,2019-07-30 03:20:00,True
119,sleep,2019-07-30 03:20:00,2019-07-30 03:50:00,True
120,wake,2019-07-30 03:50:00,2019-07-30 03:50:00,True
